Model,Macro_F1,MCC,Cohen_Kappa,Macro_AUC,Macro_Recall,Macro_Precision,CV_Acc_Mean,Val_Accuracy,Macro_F1_rank,MCC_rank,Cohen_Kappa_rank,Macro_AUC_rank,Macro_Recall_rank,Macro_Precision_rank,CV_Acc_Mean_rank,Val_Accuracy_rank,Avg_Rank
EfficientNetV2S,0.9099779372653145,0.8424070564090982,0.8418093803032655,0.9848331014461029,0.9325587628929142,0.8906351051700016,0.8080518102372036,0.90125,1,1,1,1,1,1,1,1,1.0
MobileNetV2,0.868662179314494,0.765289238460903,0.7643283515102555,0.9668904004460971,0.900684682721296,0.8450702480845412,0.7538033707865168,0.8526841448189763,2,2,2,2,2,2,4,2,2.25
DenseNet121,0.8477870212654095,0.6983328357924148,0.6970649999502374,0.9532055311533189,0.8778522939967344,0.8236526591526088,0.7415574282147316,0.8102372034956304,3,3,3,3,3,3,5,3,3.25
ResNet50,0.7842304386659701,0.6393681998175587,0.6387446376157146,0.9308747181196896,0.8362955253508313,0.7502910072856099,0.7070727215980025,0.7725,4,4,4,5,5,4,6,4,4.5
ResNet101,0.7833741940450986,0.6270165251781104,0.6238489251743274,0.9374571320858839,0.8534924595406799,0.7399542189706734,0.7563046192259675,0.7602996254681648,5,5,5,4,4,5,3,5,4.5
GoogLeNet,0.4085471840321721,0.2725531115891175,0.2184921370087627,0.7613499800959223,0.40480993386206915,0.5735030454735086,0.7895571161048689,0.54125,6,6,6,6,6,6,2,6,5.5
